geometry.coordinates,geometry.type,id,properties.alert,properties.cdi,properties.code,properties.detail,properties.dmin,properties.felt,properties.gap,properties.ids,properties.mag,properties.magType,properties.mmi,properties.net,properties.nst,properties.place,properties.rms,properties.sig,properties.sources,properties.status,properties.time,properties.title,properties.tsunami,properties.type,properties.types,properties.tz,properties.updated,properties.url,type
"[-119.377, 37.6245, 6.11]",Point,nc72588386,,,72588386,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588386.geojson,0.2362,,192.0,",nc72588386,",1.7,md,,nc,26.0,"21km SE of Yosemite Valley, California",0.08,44,",nc,",reviewed,1454570317350,"M 1.7 - 21km SE of Yosemite Valley, California",0,earthquake,",cap,focal-mechanism,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454619004908,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588386,Feature
"[169.1128, -63.214, 10]",Point,us20004x0t,,,20004x0t,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004x0t.geojson,14.559,,96.0,",us20004x0t,",4.9,mb,,us,,Balleny Islands region,0.78,369,",us,",reviewed,1454570025040,M 4.9 - Balleny Islands region,0,earthquake,",cap,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",660,1454598985590,http://earthquake.usgs.gov/earthquakes/eventpage/us20004x0t,Feature
"[-122.8126678, 38.8111649, 1.66]",Point,nc72588371,,,72588371,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588371.geojson,0.01238,,99.0,",nc72588371,",0.43,md,,nc,8.0,"6km NW of The Geysers, California",0.02,3,",nc,",automatic,1454569828970,"M 0.4 - 6km NW of The Geysers, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454574187614,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588371,Feature
"[-119.3908333, 37.6253333, 5.53]",Point,nc72588381,,,72588381,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588381.geojson,0.2471,,137.0,",nc72588381,",1.24,md,,nc,14.0,"20km SE of Yosemite Valley, California",0.29,24,",nc,",reviewed,1454569759850,"M 1.2 - 20km SE of Yosemite Valley, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454617503857,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588381,Feature
"[-119.3896667, 37.6351667, 4.13]",Point,nc72588376,,,72588376,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588376.geojson,0.2461,,144.0,",nc72588376,",1.09,md,,nc,10.0,"20km SE of Yosemite Valley, California",0.16,18,",nc,",reviewed,1454569697010,"M 1.1 - 20km SE of Yosemite Valley, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454615952790,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588376,Feature
"[-119.3916667, 37.6346667, 5.92]",Point,nc72588366,,2.7,72588366,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588366.geojson,0.2477,2.0,140.0,",nc72588366,",1.74,md,,nc,27.0,"20km SE of Yosemite Valley, California",0.14,47,",nc,",reviewed,1454569565600,"M 1.7 - 20km SE of Yosemite Valley, California",0,earthquake,",cap,dyfi,focal-mechanism,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454615404707,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588366,Feature
"[-119.3851667, 37.638, 2.43]",Point,nc72588361,,,72588361,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588361.geojson,0.2426,,141.0,",nc72588361,",1.48,md,,nc,15.0,"20km SE of Yosemite Valley, California",0.12,34,",nc,",reviewed,1454569256690,"M 1.5 - 20km SE of Yosemite Valley, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454613904635,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588361,Feature
"[-67.7963, 19.2423, 63]",Point,pr16035001,,,16035001,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/pr16035001.geojson,1.32950662,,338.4,",pr16035001,",3.1,Md,,pr,6.0,"97km NE of Punta Cana, Dominican Republic",0.18,148,",pr,",REVIEWED,1454569170100,"M 3.1 - 97km NE of Punta Cana, Dominican Republic",0,earthquake,",cap,geoserve,nearby-cities,origin,tectonic-summary,",-300,1454598123215,http://earthquake.usgs.gov/earthquakes/eventpage/pr16035001,Feature
"[147.4642, -6.3994, 75.3]",Point,us20004x0k,,,20004x0k,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004x0k.geojson,3.001,,41.0,",us20004x0k,",5.1,mb,,us,,"50km WNW of Finschhafen, Papua New Guinea",0.99,400,",us,",reviewed,1454569167130,"M 5.1 - 50km WNW of Finschhafen, Papua New Guinea",1,earthquake,",cap,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",600,1454598128975,http://earthquake.usgs.gov/earthquakes/eventpage/us20004x0k,Feature
"[-122.745, 38.7761667, 0.93]",Point,nc72588356,,,72588356,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588356.geojson,0.009575,,63.0,",nc72588356,",0.31,md,,nc,24.0,"0km E of The Geysers, California",0.08,1,",nc,",reviewed,1454568970140,"M 0.3 - 0km E of The Geysers, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454632747766,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588356,Feature
"[-67.961, 18.0608, 102]",Point,pr16035000,,,16035000,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/pr16035000.geojson,0.55875211,,316.8,",pr16035000,",3.4,Md,,pr,14.0,"74km SE of Punta Cana, Dominican Republic",0.31,178,",pr,",REVIEWED,1454568196100,"M 3.4 - 74km SE of Punta Cana, Dominican Republic",0,earthquake,",cap,geoserve,nearby-cities,origin,tectonic-summary,",-300,1454597156859,http://earthquake.usgs.gov/earthquakes/eventpage/pr16035000,Feature
"[-122.1976667, 46.199, 3.43]",Point,uw61106807,,,61106807,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106807.geojson,0.005055,,121.0,",uw61106807,",0.88,md,,uw,6.0,"37km NNE of Amboy, Washington",0.06,12,",uw,",reviewed,1454567464020,"M 0.9 - 37km NNE of Amboy, Washington",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454618870480,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106807,Feature
"[-122.1926667, 46.1973333, 3.434]",Point,uw61106802,,,61106802,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106802.geojson,0.003216,,125.0,",uw61106802,",0.71,md,,uw,7.0,"37km NNE of Amboy, Washington",0.08,8,",uw,",reviewed,1454567035520,"M 0.7 - 37km NNE of Amboy, Washington",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454614626520,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106802,Feature
"[-112.4106667, 46.9478333, 5.54]",Point,mb80123174,,,80123174,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/mb80123174.geojson,0.086,,124.0,",mb80123174,",2.38,ml,,mb,18.0,"20km E of Lincoln, Montana",0.18,87,",mb,",reviewed,1454566316090,"M 2.4 - 20km E of Lincoln, Montana",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-420,1454597344710,http://earthquake.usgs.gov/earthquakes/eventpage/mb80123174,Feature
"[-118.9275, 37.6381667, 6.31]",Point,nc72588341,,,72588341,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588341.geojson,0.02297,,59.0,",nc72588341,",0.48,md,,nc,17.0,"4km ESE of Mammoth Lakes, California",0.03,4,",nc,",reviewed,1454566310110,"M 0.5 - 4km ESE of Mammoth Lakes, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454610364643,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588341,Feature
"[-113.9156667, 37.4911667, 2.95]",Point,uu60139102,,,60139102,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uu60139102.geojson,0.055,,84.0,",nn00529894,uu60139102,",2.11,ml,,uu,15.0,"19km WSW of Enterprise, Utah",0.12,68,",nn,uu,",reviewed,1454565784740,"M 2.1 - 19km WSW of Enterprise, Utah",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-420,1454613406170,http://earthquake.usgs.gov/earthquakes/eventpage/uu60139102,Feature
"[-122.7618332, 38.8193321, 1.72]",Point,nc72588336,,,72588336,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588336.geojson,0.01279,,105.0,",nc72588336,",0.76,md,,nc,9.0,"3km W of Cobb, California",0.01,9,",nc,",automatic,1454565671850,"M 0.8 - 3km W of Cobb, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454575443738,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588336,Feature
"[-111.4796667, 40.4003333, 1.24]",Point,uu60139097,,,60139097,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uu60139097.geojson,0.149,,101.0,",uu60139097,",1.77,ml,,uu,27.0,"12km S of Midway, Utah",0.16,48,",uu,",reviewed,1454564583760,"M 1.8 - 12km S of Midway, Utah",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-420,1454614795250,http://earthquake.usgs.gov/earthquakes/eventpage/uu60139097,Feature
"[-116.7431667, 33.6698333, 17.27]",Point,ci37520192,,,37520192,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520192.geojson,0.05127,,64.0,",ci37520192,",0.33,ml,,ci,20.0,"8km SSW of Idyllwild, California",0.1,2,",ci,",reviewed,1454564256580,"M 0.3 - 8km SSW of Idyllwild, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454609341363,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520192,Feature
"[-122.8581667, 47.7835, 18.744]",Point,uw61106712,,,61106712,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106712.geojson,0.04655,,218.0,",uw61106712,",1.19,ml,,uw,6.0,"15km WSW of Lofall, Washington",0.13,22,",uw,",reviewed,1454564120790,"M 1.2 - 15km WSW of Lofall, Washington",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454614438290,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106712,Feature
"[-118.1706, 38.463, 7.9]",Point,nn00529951,,,00529951,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00529951.geojson,0.033,,163.56,",nn00529951,",0.7,ml,,nn,6.0,"40km E of Hawthorne, Nevada",0.0666,8,",nn,",reviewed,1454562821816,"M 0.7 - 40km E of Hawthorne, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454615801725,http://earthquake.usgs.gov/earthquakes/eventpage/nn00529951,Feature
"[-122.8488333, 47.7763333, 18.192]",Point,uw60121608,,,60121608,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw60121608.geojson,0.0556,,217.0,",uw60121608,",0.84,ml,,uw,6.0,"14km WSW of Lofall, Washington",0.14,11,",uw,",reviewed,1454561848430,"M 0.8 - 14km WSW of Lofall, Washington",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454618528790,http://earthquake.usgs.gov/earthquakes/eventpage/uw60121608,Feature
"[-122.8563333, 47.7816667, 18.852]",Point,uw61106707,,,61106707,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106707.geojson,0.04829,,217.0,",uw61106707,",0.95,ml,,uw,6.0,"15km WSW of Lofall, Washington",0.13,14,",uw,",reviewed,1454561796740,"M 1.0 - 15km WSW of Lofall, Washington",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454618033630,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106707,Feature
"[-116.473, 33.5318333, 9.53]",Point,ci37520184,,,37520184,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520184.geojson,0.0404,,118.0,",ci37520184,",0.37,ml,,ci,15.0,"19km E of Anza, California",0.12,2,",ci,",reviewed,1454561692350,"M 0.4 - 19km E of Anza, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454609095485,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520184,Feature
"[-122.848, 47.7891667, 18.742]",Point,uw61106702,,,61106702,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106702.geojson,0.04859,,230.0,",uw61106702,",1.19,ml,,uw,6.0,"14km W of Lofall, Washington",0.1,22,",uw,",reviewed,1454561268290,"M 1.2 - 14km W of Lofall, Washington",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454614126840,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106702,Feature
"[-122.8565, 47.7831667, 18.842]",Point,uw61106692,,,61106692,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106692.geojson,0.04724,,218.0,",uw61106692,",1.4,ml,,uw,6.0,"15km WSW of Lofall, Washington",0.12,30,",uw,",reviewed,1454560580230,"M 1.4 - 15km WSW of Lofall, Washington",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454617355310,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106692,Feature
"[-150.4984, 61.2433, 4.6]",Point,ak12668659,,,12668659,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12668659.geojson,,,,",ak12668659,",2.4,ml,,ak,,"32km W of Anchorage, Alaska",0.86,89,",ak,",automatic,1454560571000,"M 2.4 - 32km W of Anchorage, Alaska",0,earthquake,",general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1454563371264,http://earthquake.usgs.gov/earthquakes/eventpage/ak12668659,Feature
"[-122.8248333, 38.8118333, 2.57]",Point,nc72588326,,,72588326,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588326.geojson,0.004504,,77.0,",nc72588326,",0.6,md,,nc,37.0,"7km WNW of The Geysers, California",0.05,6,",nc,",reviewed,1454560565150,"M 0.6 - 7km WNW of The Geysers, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454630044337,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588326,Feature
"[-121.7053333, 37.195, 4.31]",Point,nc72588316,,,72588316,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588316.geojson,0.04688,,104.0,",nc72588316,",0.97,md,,nc,8.0,"8km NNW of Morgan Hill, California",0.11,14,",nc,",reviewed,1454560198260,"M 1.0 - 8km NNW of Morgan Hill, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454638986048,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588316,Feature
"[-118.6204, 39.0864, 11]",Point,nn00529889,,,00529889,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00529889.geojson,0.405,,149.38,",nn00529889,",0.9,ml,,nn,9.0,"45km SSE of Fallon, Nevada",0.1797,12,",nn,",reviewed,1454560097525,"M 0.9 - 45km SSE of Fallon, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454614877726,http://earthquake.usgs.gov/earthquakes/eventpage/nn00529889,Feature
"[-122.8171667, 47.7575, 15.172]",Point,uw61106687,,,61106687,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106687.geojson,0.08409,,200.0,",uw61106687,",1.32,ml,,uw,8.0,"13km W of Poulsbo, Washington",0.19,27,",uw,",reviewed,1454559990110,"M 1.3 - 13km W of Poulsbo, Washington",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454616983610,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106687,Feature
"[-122.8531667, 47.786, 18.654]",Point,uw61106682,,,61106682,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106682.geojson,0.04772,,224.0,",uw61106682,",1.17,ml,,uw,6.0,"14km W of Lofall, Washington",0.15,21,",uw,",reviewed,1454559610780,"M 1.2 - 14km W of Lofall, Washington",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454616365490,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106682,Feature
"[-122.868, 47.7796667, 18.272]",Point,uw61106677,,,61106677,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106677.geojson,0.04411,,206.0,",uw61106677,",1.27,ml,,uw,6.0,"15km N of Seabeck, Washington",0.1,25,",uw,",reviewed,1454559281080,"M 1.3 - 15km N of Seabeck, Washington",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454615943103,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106677,Feature
"[-115.96, 47.4748333, 0.65]",Point,mb80123194,,,80123194,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/mb80123194.geojson,0.816,,82.0,",mb80123194,",1.71,ml,,mb,11.0,"2km W of Wallace, Idaho",0.27,45,",mb,",reviewed,1454558095450,"M 1.7 - 2km W of Wallace, Idaho",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454685166230,http://earthquake.usgs.gov/earthquakes/eventpage/mb80123194,Feature
"[-118.8143, 39.0114, 7.4]",Point,nn00529943,,,00529943,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00529943.geojson,0.333,,143.28,",nn00529943,",1.2,ml,,nn,9.0,"30km E of Yerington, Nevada",0.1749,22,",nn,",reviewed,1454558092345,"M 1.2 - 30km E of Yerington, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454614504087,http://earthquake.usgs.gov/earthquakes/eventpage/nn00529943,Feature
"[-98.0581, 37.0925, 5]",Point,us20004x00,,3.2,20004x00,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004x00.geojson,0.042,5.0,82.0,",us20004x00,ismpkansas70170508,",2.7,mb_lg,,us,,"7km SSW of Anthony, Kansas",0.26,114,",us,ismpkansas,",reviewed,1454557645650,"M 2.7 - 7km SSW of Anthony, Kansas",0,earthquake,",cap,dyfi,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-360,1454636296200,http://earthquake.usgs.gov/earthquakes/eventpage/us20004x00,Feature
"[-118.7715, 38.6579, 12]",Point,nn00529989,,,00529989,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00529989.geojson,0.197,,260.25,",nn00529989,",0.6,ml,,nn,3.0,"19km NW of Hawthorne, Nevada",0.0222,6,",nn,",reviewed,1454557483970,"M 0.6 - 19km NW of Hawthorne, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454626934069,http://earthquake.usgs.gov/earthquakes/eventpage/nn00529989,Feature
"[-118.8028, 38.6196, 8.3]",Point,nn00529932,,,00529932,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00529932.geojson,0.165,,123.95,",nn00529932,",1.0,ml,,nn,9.0,"18km NW of Hawthorne, Nevada",0.1751,15,",nn,",reviewed,1454556594226,"M 1.0 - 18km NW of Hawthorne, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454613199605,http://earthquake.usgs.gov/earthquakes/eventpage/nn00529932,Feature
"[-116.0718, 36.6941, 4.1]",Point,nn00529886,,,00529886,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00529886.geojson,0.022,,104.85,",nn00529886,",-0.1,ml,,nn,12.0,"54km N of Pahrump, Nevada",0.0796,0,",nn,",reviewed,1454554920131,"M -0.1 - 54km N of Pahrump, Nevada",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454612254887,http://earthquake.usgs.gov/earthquakes/eventpage/nn00529886,Feature
"[-122.8543333, 47.7848333, 18.624]",Point,uw61106672,,,61106672,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106672.geojson,0.04776,,222.0,",uw61106672,",1.36,ml,,uw,6.0,"15km WSW of Lofall, Washington",0.13,28,",uw,",reviewed,1454554919460,"M 1.4 - 15km WSW of Lofall, Washington",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454623893456,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106672,Feature
"[-120.9948333, 36.9378333, 6.35]",Point,nc72588306,,,72588306,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588306.geojson,0.1093,,169.0,",nc72588306,",1.34,md,,nc,23.0,"18km SW of Los Banos, California",0.12,28,",nc,",reviewed,1454552759750,"M 1.3 - 18km SW of Los Banos, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454656024635,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588306,Feature
"[-121.3455, 36.6985, 6.12]",Point,nc72588301,,,72588301,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588301.geojson,0.06625,,83.0,",nc72588301,",1.72,md,,nc,33.0,"12km S of Ridgemark, California",0.06,46,",nc,",reviewed,1454552405330,"M 1.7 - 12km S of Ridgemark, California",0,earthquake,",cap,focal-mechanism,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,tectonic-summary,",-480,1454643424207,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588301,Feature
"[-122.8513333, 47.7735, 17.162]",Point,uw61106662,,1.0,61106662,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106662.geojson,0.0563,0.0,64.0,",uw61106662,",1.97,ml,,uw,17.0,"14km N of Seabeck, Washington",0.19,60,",uw,",reviewed,1454552227040,"M 2.0 - 14km N of Seabeck, Washington",0,earthquake,",dyfi,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454623677108,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106662,Feature
"[-96.8131, 35.9881, 6.88]",Point,us20004wzw,,,20004wzw,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004wzw.geojson,0.018,,50.0,",us20004wzw,",2.3,mb_lg,,us,,"4km W of Cushing, Oklahoma",0.44,81,",us,",reviewed,1454552198450,"M 2.3 - 4km W of Cushing, Oklahoma",0,earthquake,",cap,general-link,geoserve,impact-text,nearby-cities,origin,phase-data,tectonic-summary,",-360,1454581162061,http://earthquake.usgs.gov/earthquakes/eventpage/us20004wzw,Feature
"[-122.7425003, 38.7868347, 1.05]",Point,nc72588296,,,72588296,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588296.geojson,0.005769,,121.0,",nc72588296,",0.55,md,,nc,6.0,"1km NE of The Geysers, California",0.02,5,",nc,",automatic,1454551860840,"M 0.6 - 1km NE of The Geysers, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454554624985,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588296,Feature
"[-147.3316, 61.322, 10.7]",Point,ak12667192,,,12667192,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12667192.geojson,,,,",ak12667192,",2.0,ml,,ak,,"56km WNW of Valdez, Alaska",0.89,62,",ak,",automatic,1454551606000,"M 2.0 - 56km WNW of Valdez, Alaska",0,earthquake,",general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1454553079246,http://earthquake.usgs.gov/earthquakes/eventpage/ak12667192,Feature
"[-122.743, 38.7818333, 2.26]",Point,nc72588291,,,72588291,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588291.geojson,0.005101,,68.0,",nc72588291,",0.02,md,,nc,20.0,"1km ENE of The Geysers, California",0.07,0,",nc,",reviewed,1454550883150,"M 0.0 - 1km ENE of The Geysers, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454631604390,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588291,Feature
"[-96.8105, 35.9867, 1.5]",Point,us20004wzk,,2.0,20004wzk,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004wzk.geojson,0.016,6.0,49.0,",us20004wzk,",2.3,ml,,us,,"3km W of Cushing, Oklahoma",0.77,83,",us,",reviewed,1454550197900,"M 2.3 - 3km W of Cushing, Oklahoma",0,earthquake,",cap,dyfi,general-link,geoserve,impact-text,nearby-cities,origin,phase-data,tectonic-summary,",-360,1454556638630,http://earthquake.usgs.gov/earthquakes/eventpage/us20004wzk,Feature
"[-112.2118333, 38.6258333, -3.28]",Point,uu60139012,,,60139012,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uu60139012.geojson,0.117,,110.0,",uu60139012,",1.41,md,,uu,8.0,"7km W of Monroe, Utah",0.25,31,",uu,",reviewed,1454550165190,"M 1.4 - 7km W of Monroe, Utah",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-420,1454629317740,http://earthquake.usgs.gov/earthquakes/eventpage/uu60139012,Feature
"[-118.3602, 38.4674, 2.5]",Point,nn00529883,,,00529883,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00529883.geojson,0.037,,86.26,",nn00529883,",0.8,ml,,nn,14.0,"23km ESE of Hawthorne, Nevada",0.1455,10,",nn,",reviewed,1454549939085,"M 0.8 - 23km ESE of Hawthorne, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454573147400,http://earthquake.usgs.gov/earthquakes/eventpage/nn00529883,Feature
"[-88.0068333, 32.9325, 0.01]",Point,se60022803,,,60022803,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/se60022803.geojson,0.2708,,127.0,",se60022803,",2.29,md,,se,7.0,"15km NW of Eutaw, Alabama",0.55,81,",se,",reviewed,1454549621100,"M 2.3 - 15km NW of Eutaw, Alabama",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-360,1454594335214,http://earthquake.usgs.gov/earthquakes/eventpage/se60022803,Feature
"[-122.8615, 47.7756667, 17.398]",Point,uw61106657,,,61106657,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw61106657.geojson,0.05001,,80.0,",uw61106657,",1.94,ml,,uw,18.0,"15km WSW of Lofall, Washington",0.12,58,",uw,",reviewed,1454549572870,"M 1.9 - 15km WSW of Lofall, Washington",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454551260790,http://earthquake.usgs.gov/earthquakes/eventpage/uw61106657,Feature
"[-119.7456, 39.388, 1.4]",Point,nn00529904,,,00529904,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00529904.geojson,0.015,,147.65,",nn00529904,",0.2,ml,,nn,6.0,"12km NW of Virginia City, Nevada",0.1249,1,",nn,",reviewed,1454549171154,"M 0.2 - 12km NW of Virginia City, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454572770938,http://earthquake.usgs.gov/earthquakes/eventpage/nn00529904,Feature
"[-118.3591, 38.5117, 8.7]",Point,nn00529987,,,00529987,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00529987.geojson,0.078,,163.83,",nn00529987,",-0.2,ml,,nn,4.0,"23km E of Hawthorne, Nevada",0.0098,1,",nn,",reviewed,1454548984091,"M -0.2 - 23km E of Hawthorne, Nevada",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454626561531,http://earthquake.usgs.gov/earthquakes/eventpage/nn00529987,Feature
